,date,steps,distance,runDistance,calories
544,2017-10-23,32547,22652,469,707
545,2017-10-24,6134,4225,268,138
546,2017-10-25,9744,7005,514,244
547,2017-10-26,7143,4817,281,162
548,2017-10-27,3675,2512,233,86
549,2017-10-28,13583,10250,376,345
550,2017-10-29,21049,15788,1184,532
551,2017-10-30,4920,3611,98,129
552,2017-10-31,7794,5230,595,172
553,2017-11-01,8012,5612,562,194
554,2017-11-02,26641,19255,14547,743
555,2017-11-03,1525,986,127,36
556,2017-11-04,4536,3253,365,119
557,2017-11-05,4723,3383,371,127
558,2017-11-06,21800,16487,12226,621
559,2017-11-07,1254,908,164,37
560,2017-11-08,19395,13484,749,893
561,2017-11-09,10577,7525,640,265
562,2017-11-10,4018,2749,128,86
563,2017-11-11,11307,8250,0,454
564,2017-11-12,5648,4030,410,146
565,2017-11-13,8018,5793,538,204
566,2017-11-14,30382,22422,256,754
567,2017-11-15,9121,6764,26,222
568,2017-11-16,3473,2451,115,87
569,2017-11-17,509,330,72,18
570,2017-11-18,1869,1278,72,43
571,2017-11-19,1237,881,126,39
572,2017-11-20,13960,10406,421,363
573,2017-11-21,15073,12177,9188,790
574,2017-11-22,7005,5140,319,180
575,2017-11-23,3544,2346,0,98
576,2017-11-24,17573,12094,832,398
577,2017-11-25,14098,9886,573,342
578,2017-11-26,13673,10250,382,357
579,2017-11-27,3172,2091,189,71
580,2017-11-28,2775,1967,232,83
581,2017-11-29,10074,7235,326,238
582,2017-11-30,2306,1555,69,55
583,2017-12-01,11755,8508,195,295
584,2017-12-02,23797,18395,466,637
585,2017-12-03,12026,8819,865,328
586,2017-12-04,1167,754,665,87
587,2017-12-05,18119,12822,1184,420
588,2017-12-06,3003,2068,129,73
589,2017-12-07,7973,5967,95,205
590,2017-12-08,13883,10330,555,361
591,2017-12-09,9046,7001,1882,292
592,2017-12-10,3475,2507,133,83
593,2017-12-11,5650,3881,403,129
594,2017-12-12,8382,6477,238,249
595,2017-12-13,1237,800,146,33
596,2017-12-14,1680,1086,971,317
597,2017-12-15,3675,2459,177,80
598,2017-12-16,8692,6165,317,202
599,2017-12-17,6953,5394,36,189
600,2017-12-18,5982,4385,3491,196
601,2017-12-19,10061,7040,723,247
602,2017-12-20,3299,2245,265,271
603,2017-12-21,30448,22104,964,728
604,2017-12-22,7889,5497,551,193
605,2017-12-23,22452,15995,2340,528
606,2017-12-24,0,0,0,0
607,2017-12-25,3110,2033,1669,129
608,2017-12-26,12053,9049,82,302
609,2017-12-27,7678,5552,342,198
610,2017-12-28,6383,4278,273,145
611,2017-12-29,7817,5256,632,180
612,2017-12-30,10862,7553,504,259
613,2017-12-31,10810,8438,183,320
614,2018-01-01,4112,3098,209,117
615,2018-01-02,18422,13482,366,456
616,2018-01-03,10358,7663,135,680
617,2018-01-04,2812,1878,201,70
618,2018-01-05,7359,5604,108,190
619,2018-01-06,13878,10191,82,603
620,2018-01-07,8547,6132,957,377
621,2018-01-08,16311,11851,1304,417
622,2018-01-09,9323,6919,264,229
623,2018-01-10,7790,5163,575,164
624,2018-01-11,5042,3556,386,127
625,2018-01-12,18094,13818,235,462
626,2018-01-13,6242,4446,332,164
627,2018-01-14,10512,7575,2097,263
628,2018-01-15,9896,6819,106,456
629,2018-01-16,8423,6556,114,230
